"authentischen Berichten zufolge","<div>au­then­tisch</div><div>echt; den Tatsachen entsprechend und daher glaubwürdig</div>"
"im Fond sitzen","<div>Fond, der</div><div>hinterer Teil des Wageninneren, der die Rücksitze enthält</div>"
"der Fond zum Erfolg","<div>Fond, der</div><div>Grundlage, Basis</div>"
"ein stolzer Preis","<div>stolz</div><div>(im Hinblick auf Anzahl, Menge, Ausmaß) erheblich, beträchtlich; als ziemlich hoch empfunden; beeindruckend</div>"
"eine stolze Frau","<div>stolz</div><div>in seinem Selbstbewusstsein überheblich und abweisend</div>"
"er war zu stolz, um Hilfe anzunehmen","<div>stolz</div><div>in seinem Selbstbewusstsein überheblich und abweisend</div>"
"warum so stolz?","<div>stolz</div><div>in seinem Selbstbewusstsein überheblich und abweisend</div>"
"sie ist stolz, dass sie ihr Ziel erreicht hat","<div>stolz</div><div>von Selbstbewusstsein und Freude über einen Besitz, eine [eigene] Leistung erfüllt; ein entsprechendes Gefühl zum Ausdruck bringend oder hervorrufend</div>"
"auf einen Erfolg, auf seine Kinder stolz sein","<div>stolz</div><div>von Selbstbewusstsein und Freude über einen Besitz, eine [eigene] Leistung erfüllt; ein entsprechendes Gefühl zum Ausdruck bringend oder hervorrufend</div>"
"seine Brote, sein Mittagessen verzehren","<div>ver­zeh­ren</div><div><a href=""http://www.duden.de/rechtschreibung/essen#b2-Bedeutung-2"">essen (2)</a> [und trinken], bis nichts mehr von etwas übrig ist</div>"
"die Krankheit hat ihre Kräfte verzehrt","<div>ver­zeh­ren</div><div>bis zur völligen körperlichen und seelischen Erschöpfung an jemandem zehren</div>"
"sie strickt beim Fernsehen","<div>stri­cken</div><div>einen Faden mit Stricknadeln oder einer Strickmaschine zu einer Art (einem Gewebe ähnelnden) Geflecht von Maschen verschlingen</div>"
"an einem Pullover stricken","<div>stri­cken</div><div>einen Faden mit Stricknadeln oder einer Strickmaschine zu einer Art (einem Gewebe ähnelnden) Geflecht von Maschen verschlingen</div>"
"Strümpfe, einen Pullover stricken","<div>stri­cken</div><div><a href=""http://www.duden.de/rechtschreibung/stricken#b2-Bedeutung-1a"">strickend (1a)</a> anfertigen, herstellen</div>"
"an einer Legende, einem Mythos, einer Verschwörungstheorie stricken","<div>stri­cken</div><div>an etwas [planvoll] arbeiten</div>"
